kind,slug,name,location,setCount,needs,imageUrl,website,instagram,youtube,soundcloud,twitter
dj,the-blaze,The Blaze,"Paris, France",1,website|instagram|soundcloud|twitter,https://cdn-images.dzcdn.net/images/artist/18eee31f298956a83b7e5d4cd02db8bc/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@TheBlazeOfficial,Not found,Not found
dj,the-prototypes,The Prototypes,"Brighton, UK",1,website|instagram|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/69fe7947145fbe2427440b2f740fb317/250x250-000000-80-0-0.jpg,Not found,Not found,Not found,https://soundcloud.com/theprototypes,Not found
dj,tim-engelhardt,Tim Engelhardt,"Cologne, Germany",1,website|soundcloud|twitter,https://cdn-images.dzcdn.net/images/artist/44404b3e51537b7edd60e1f47cf3f0e4/250x250-000000-80-0-0.jpg,Not found,https://www.instagram.com/timengelhardt_music/,https://www.youtube.com/@timengelhardtmusic,Not found,Not found
dj,tim-green,Tim Green,"London, UK",1,website|soundcloud|twitter,https://cdn-images.dzcdn.net/images/artist/7cdb2a910187b2a020463222f3d6130d/250x250-000000-80-0-0.jpg,Not found,https://www.instagram.com/timgreen_music/,https://www.youtube.com/@TimGreenMusic,Not found,Not found
dj,tobehonest,TOBEHONEST,"Los Angeles, US",1,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/f41df043c238d28f683cae0694b274bb/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@tobehonestmusic,https://soundcloud.com/tobehonestmusic,Not found
dj,tons,Tons,Not found,1,website|instagram|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/067b09ad28c0dc8a4f5e9194a90716ee/250x250-000000-80-0-0.jpg,Not found,Not found,Not found,https://soundcloud.com/tonsandtons,Not found
dj,tony-romera,Tony Romera,"Lyon, France",1,website,https://cdn-images.dzcdn.net/images/artist/a09e76f5786d49b451007c605c22ad66/250x250-000000-80-0-0.jpg,Not found,https://instagram.com/tonyromera,https://www.youtube.com/tonyromeratv,https://soundcloud.com/tonyromera,https://x.com/tonyromera
dj,torren-foot,Torren Foot,"Melbourne, Australia",1,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/4f03a26eb3090d4b486437226f684878/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@torrenfoote,https://soundcloud.com/torrenfoot,Not found
dj,toyzz,TOYZZ,"Alicante, Spain",1,website|instagram|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/cd40746e68b20511dba4999d168d968f/250x250-000000-80-0-0.jpg,Not found,Not found,Not found,https://soundcloud.com/toyzzx,Not found
dj,trevormusiq,TrevorMusiq,South Africa,1,website|instagram|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/b419a1484ce53f4f71bc718eaa030af8/250x250-000000-80-0-0.jpg,Not found,Not found,Not found,https://soundcloud.com/trevormusiq,Not found
dj,ts7,TS7,"Bradford, UK",1,website|soundcloud,https://cdn-images.dzcdn.net/images/artist/09ecc536d594b6a8c35a6bc82aa7ad4f/250x250-000000-80-0-0.jpg,https://ts7music.com/,https://www.instagram.com/ts7music/,https://www.youtube.com/@ts7music,Not found,https://x.com/ts7music
dj,tuta-m,Tuta M,South Africa,1,website|instagram|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/228db74023dba388565ee88e0f50d423/250x250-000000-80-0-0.jpg,Not found,Not found,Not found,https://soundcloud.com/tuta-m,Not found
dj,uberkikz,ÃœBERKIKZ,Not found,1,imageUrl|website|instagram|youtube|soundcloud|twitter,Not found,Not found,Not found,Not found,Not found,Not found
dj,umlilo,Umlilo,"Johannesburg, South Africa",1,website|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/ed7112fc292092eda311df8eaa2a9162/250x250-000000-80-0-0.jpg,Not found,https://instagram.com/umlilo__,Not found,https://soundcloud.com/umlilo,Not found
dj,vltra,VLTRA,"Palermo, Italy",1,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/4cd14ece9487433c69c13b1ea83e8345/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@vltramusic,https://soundcloud.com/vltramusic1719,Not found
dj,vnssa,VNSSA,"Los Angeles, US",1,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/ac058e1483657c0fac5e538de34e4031/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@vnssaofficial,https://soundcloud.com/vnssa,Not found
dj,wakyin,Wakyin,United States,1,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/ca1bd9e8585912c799649c88a9a79391/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@wakyin,https://soundcloud.com/wakyin,Not found
dj,wavhart,WAVHART,"Los Angeles, US",1,website|instagram|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/846548f99a7866c6628e83bbc027b066/250x250-000000-80-0-0.jpg,Not found,Not found,Not found,https://soundcloud.com/wavhart,Not found
dj,wes-pierce,wes pierce,"Los Angeles, US",1,website|instagram|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/13d83f63fb5c92df70a557be9e674270/250x250-000000-80-0-0.jpg,Not found,Not found,Not found,https://soundcloud.com/wespiercemusic,Not found
dj,whomadewho,WhoMadeWho,"Copenhagen, Denmark",1,website|instagram|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/45dc56f1c4084e18a6d7022f7f22b034/250x250-000000-80-0-0.jpg,Not found,Not found,Not found,https://soundcloud.com/whomadewho,Not found
dj,worship,WORSHIP,UK,1,website|youtube|soundcloud|twitter,https://cdn-images.dzcdn.net/images/artist/2e377829720652ce7356d1d6f4970562/250x250-000000-80-0-0.jpg,Not found,http://instagram.com/worship_,Not found,Not found,Not found
dj,worthy,Worthy,"San Francisco, US",1,website|soundcloud,https://cdn-images.dzcdn.net/images/artist/c0159f2f33c98021cde0380508fac53c/250x250-000000-80-0-0.jpg,Not found,https://www.instagram.com/worthyyfn/,https://www.youtube.com/@Worthyy,Not found,https://x.com/worthy27_
dj,ydg,YDG,"Los Angeles, US",1,website,https://cdn-images.dzcdn.net/images/artist/2861252d8d9850af718213ac79e98254/250x250-000000-80-0-0.jpg,Not found,https://www.instagram.com/itsydg/,https://www.youtube.com/@Itsydg,https://soundcloud.com/itsydg,https://x.com/itsydg
dj,yousuke-yukimatsu,Yousuke Yukimatsu,"Osaka, Japan",1,website|twitter,https://i1.sndcdn.com/avatars-000368693759-jq0836-t500x500.jpg,Not found,https://instagram.com/yousukeyukimatsu,https://www.youtube.com/@YOUSUKE.YUKIMATSU,https://soundcloud.com/yousukeyukimatsu,Not found
dj,yuvee,YuvÃ¨e,"Tel Aviv, Israel",1,website|soundcloud|twitter,https://cdn-images.dzcdn.net/images/artist/252dabd72b3c9d349aa548262e77e3f9/250x250-000000-80-0-0.jpg,Not found,https://www.instagram.com/yuvee_music/,https://www.youtube.com/@Yuveemusic,Not found,Not found
